value,id
168,USA
54,UK
48,China
46,Germany
36,France
36,Australia
34,India
29,Japan
23,Canada
21,Brazil
18,Mexico
18,Netherlands
17,South Africa
16,Switzerland
14,Russia
14,Spain
14,Norway
13,Italy
12,Argentina
12,New Zealand
8,Sudan
8,Chile
8,Sudan
7,Sweden
7,Morocco
7,Austria
6,Cuba
6,Republic of Korea
5,Bangladesh
5,Zambia
5,Belgium
5,Philippines
5,Senegal
4,Egypt
4,Nigeria
4,Ghana
4,Colombia
4,Hungary
4,Finland
4,Malaysia
3,Botswana
3,Trinidad and Tobago
3,Denmark
3,Portugal
3,Tanzania
2,Romania
2,Peru
2,Costa Rica
2,Zimbabwe
2,Ukraine
2,Greece
2,Iran
2,Poland
1,Maldives
1,Sri Lanka
1,Indonesia
1,Malta
1,Guatemala
1,Tunisia
1,Moldova
1,Gambia
1,Nepal
1,Jamaica
1,Tonga
1,Venezuela
1,Thailand
1,Niger
1,Pakistan
1,Estonia
1,Slovenia
1,Algeria
1,Uganda
1,Ethiopia
1,Montenegro
1,Bulgaria
1,Cameroon
1,Barbados
1,Iceland
1,Kenya
1,Belarus
