value,id,
72,USA,
45,UK,
45,Germany,
37,Australia,
37,China,
31,India,
31,Japan,
24,France,
21,Canada,
21,Brazil,
17,Spain,
16,Netherlands,
14,Norway,
14,Mexico,
14,New Zealand,
14,South Africa,
13,Italy,
12,Russia,
11,Republic of Korea,
11,Argentina,
10,Switzerland,
8,Indonesia,
8,Chile,
7,Nigeria,
7,Morocco,
6,Malaysia,
6,Sudan,
6,Austria,
6,Jamaica,
6,Senegal,
6,Cuba,
6,Algeria,
6,Tanzania,
5,Ghana,
5,Pakistan,
5,Sweden,
5,Ethiopia,
5,Denmark,
5,Philippines,
5,Belgium,
4,Thailand,
4,Zambia,
4,Iran,
3,Egypt,
3,Maldives,
3,Egypt,
3,Saudi Arabia,
3,Bangladesh,
3,Colombia,
3,Uruguay,
3,Venezuela,
3,Ukraine,
3,Uganda,
3,Greece,
3,Poland,
3,Finland,
3,Peru,
2,Nepal,
2,Trinidad and Tobago,
2,Dominican Republic,
2,Ecuador,
2,Singapore,
2,Portugal,
2,Ireland,
2,Czech Republic,
2,Turkey,
2,Kenya,
2,Hungary,
1,Iceland,
1,Madagascar,
1,Romania,
1,Cook Islands,
1,Guatemala,
1,Mauritania,
1,Gambia,
1,Botswana,
1,Zimbabwe,
1,Tonga,
1,Eritrea,
1,Palau,
1,Costa Rica,
1,Uzbekistan,
1,Mozambique,
1,Cameroon,
1,Sri Lanka,
1,Israel,
1,Serbia,
1,Bahamas,
1,Benin,
1,Solomon Islands,
1,Latvia,
