value,id
350,USA
137,UK
75,Canada
62,Germany
58,Australia
58,France
54,Japan
44,Netherlands
31,Switzerland
28,China
26,India
24,New Zealand
19,Norway
15,Austria
13,Brazil
13,Mexico
13,South Africa
11,Argentina
11,Belgium
11,Kenya
11,Sweden
10,Russia
9,Denmark
8,Italy
8,Spain
7,Finland
5,Cuba
5,Nigeria
5,Sudan
4,Bangladesh
4,Iran
4,Ireland
4,Senegal
4,Uruguay
3,Botswana
3,Chile
3,Hungary
3,Indonesia
3,Morocco
3,Peru
3,Thailand
3,Venezuela
2,Egypt
2,Greece
2,Poland
2,Romania
2,Saudi Arabia
2,Seychelles
2,Trinidad and Tobago
2,Vietnam
1,Barbados
1,Benin
1,Bolivia
1,Fiji
1,Iceland
1,Jamaica
1,Lithuania
1,Malaysia
1,Malta
1,Mauritius
1,Moldova
1,Monaco
1,Mongolia
1,Mozambique
1,Nepal
1,Niger
1,Philippines
1,Portugal
1,Singapore
1,Slovenia
1,Sri Lanka
1,Tanzania
1,Tunisia
1,Turkey
1,Zambia
1,Zimbabwe
