FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.25,Sweden,Abisko,Storflaket 1,Discontinuous,18.9734,68.3491,386,7,POINT (18.973389 68.349074),2007,2013,9,Margareta Johansson,3
tsp.26,Sweden,Tavvavuoma,Tavvavuoma 3,Isolated Patches,20.9018,68.4623,555,2,POINT (20.901767 68.4623),2005,2009,91,Britta Sannel,48
tsp.27,United States,Barrow,Barrow 2 (N.Meadow Lake 2 NM2),Continuous,-156.6541,71.3105,6.2126,45,POINT (-156.654053 71.310532),2005,2009,10,Vladimir E. Romanovsky,5
tsp.30,United States,Barrow,Barrow 2 surface,Continuous,-156.6487,71.322,3.048,1,POINT (-156.648668 71.321975),2000,2013,10,Vladimir E. Romanovsky,5
tsp.32,Russia,Vorkuta,Vorkuta 8C,Discontinuous,63.3659,67.3937,160.6904,19,POINT (63.36592 67.39367),2013,2013,83,Naum G. Oberman,46
tsp.33,United States,Barrow,Barrow 1 (N Meadow Lake 1 NM1),Continuous,-156.6615,71.309,6.4009,48,POINT (-156.661517 71.309033),2005,2009,10,Vladimir E. Romanovsky,5
tsp.34,Russia,Nadym,Nadym 11_75,Discontinuous,72.8592,65.3033,7,10,POINT (72.85916 65.303303),2005,2009,76,Natalia Moskalenko,43
tsp.43,Greenland,Zackenberg,ZC 1 Zackenberg,Continuous,-20.4889,74.4689,50.6324,3.3,POINT (-20.488924 74.468909),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.44,Greenland,Sisimiut-TKV,SIS2007-06a,Discontinuous,-53.6447,66.9361,33.1945,20.5,POINT (-53.64472 66.9361),,,51,Thomas Ingeman-Nielsen,33
tsp.45,Switzerland,Muot da Barba Peider,MBP_0296,Mountain,9.9314,46.4966,2942,18,POINT (9.93141 46.496573),1996,2015,13,Marcia Phillips,2
tsp.46,Sweden,Abisko,Kursflaket 2 PYRN,Discontinuous,18.872,68.351,349.0009,13,POINT (18.872 68.35098),2000,2013,9,Margareta Johansson,3
tsp.47,Sweden,Tavvavuoma,Tavvavuoma 12,Discontinuous,20.6836,68.4102,717,6,POINT (20.683628 68.410243),2007,2013,92,Peter Kuhry,48
tsp.48,Russia,Tiksi,Tiksi,Continuous,128.9114,71.5823,2.99,30,POINT (128.911406 71.582327),2005,2009,79,Alexander L. Kholodov,5
tsp.49,Russia,Tiksi,Bykovsky Peninsula 3_03,Continuous,129.3989,71.7809,15.2449,25,POINT (129.398924 71.780871),2000,2013,79,Alexander L. Kholodov,5
tsp.50,Russia,Lena River Delta,Cape Mamonyov Klyk,Continuous,117.1588,73.6034,10.5091,60.8,POINT (117.158781 73.603437),2005,2009,85,Paul Overduin,42
tsp.51,Russia,Lena River Delta,Kurunagh,Continuous,126.1933,72.3216,26.569,4,POINT (126.19332 72.321578),2007,2013,71,Julia Boike,42
tsp.52,Russia,Lena River Delta,Sardagh,Continuous,127.2415,72.3202,62.9161,101,POINT (127.2415 72.32016),2000,2013,85,Paul Overduin,42
tsp.53,Russia,Samoylov (Lena River Delta),Samoylov,Continuous,126.4751,72.3696,10.9926,27,POINT (126.475111 72.369555),2006,2017,71,Julia Boike,42
tsp.54,Russia,Chara,Azarova-1,Continuous,117.5842,56.9018,2018.1361,1,POINT (117.584158 56.901794),2007,2008,14,Dmitry Sergueev,7
tsp.55,Russia,Yakutsk,Umaybyt 20,Continuous,128.8494,61.4288,186.8822,20,POINT (128.84942 61.42883),,,118,Pavel Konstantinov,45
tsp.56,Svalbard,Svalbard ,Gruvefjellet,Continuous,15.6434,78.1966,419.2074,5,POINT (15.643447 78.196614),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.57,Svalbard,Svalbard ,Kapp Linne 1,Continuous,13.6415,78.0566,18.5327,30,POINT (13.641478 78.05663),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.58,Svalbard,Svalbard ,NA-B-1 Ny-Ålesund,Continuous,11.9221,78.9219,27.5498,10,POINT (11.922118 78.921923),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.59,Svalbard,Svalbard ,Janssonhaugen P11,Continuous,16.4718,78.1788,270,15,POINT (16.471831 78.178782),2007,2013,65,Ketil Isaksen,38
tsp.60,Svalbard,Svalbard ,Larsbreen,Continuous,15.5984,78.1926,499.4406,12,POINT (15.598418 78.192595),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.61,Svalbard,Svalbard ,Innerhytte pingo,Continuous,16.3235,78.1867,127.3505,21,POINT (16.323515 78.186657),2005,2009,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.62,Svalbard,Svalbard ,Breinosa (E-2009),Continuous,16.0626,78.1416,638.2451,334.8,POINT (16.06259 78.141589),2007,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.63,Svalbard,Svalbard ,Endalen PYRN,Continuous,15.7816,78.1902,40.189,20,POINT (15.78158 78.190206),2005,2009,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.64,United States,Dead Horse,Deadhorse,Continuous,-148.4653,70.1613,16,61,POINT (-148.4653 70.161283),2000,2013,10,Vladimir E. Romanovsky,5
tsp.65,United States,Ivotuk,Ivotuk 3,Continuous,-155.7381,68.4789,565.1167,1,POINT (-155.738093 68.4789),2007,2013,10,Vladimir E. Romanovsky,5
tsp.66,Svalbard,Svalbard ,LF-B-1 Lunckefjell (20-2009),Continuous,16.7355,78.0225,807.0211,90,POINT (16.735503 78.022478),2013,2013,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.67,Canada,Mackenzie Delta,Campbell Lake 1,Continuous,-133.096,68.244,122.6064,4.6,POINT (-133.09604 68.24402),2007,2013,39,Sharon Smith,8
tsp.68,Canada,Mackenzie Delta,CD100,Discontinuous,-134.8478,68.3497,2,20.3,POINT (-134.847781 68.34972),2005,2009,55,Julian Kanigan,32
tsp.69,Russia,Bolvansky,Bolvansky 59,Continuous,54.4986,68.2875,30,15,POINT (54.498611 68.2875),2006,2015,78,Galina Malkova,43
tsp.70,Russia,Bolvansky,Bolvansky 65,Continuous,54.5194,68.2867,28,12,POINT (54.519444 68.286667),2007,2016,78,Galina Malkova,43
tsp.71,Russia,Bolvansky,Bolvansky 83,Continuous,54.4828,68.2853,30.5,10,POINT (54.482778 68.285278),2007,2013,78,Galina Malkova,43
